#,Name,Start,End,Length
M1,Sunrise,1.1.00,,
M2,Sunny,19.3.03,,
M3,Cloudy,60.1.87,,
M4,Aurora,129.1.20,,
M3,Cloudy,206.3.99,,
M6,Cannon Fire,270.4.33,,
M1,Sunrise,271.1.01,,
M6,Cannon Fire,273.3.28,,
M1,Sunrise,273.4.06,,
M6,Cannon Fire,276.1.78,,
M1,Sunrise,276.2.22,,
M6,Cannon Fire,278.4.61,,
M1,Sunrise,279.1.16,,
M7,Lightning,361.4.60,,
M1,Sunrise,363.1.43,,
M7,Lightning,374.2.87,,
M1,Sunrise,376.3.48,,
M7,Lightning,385.3.78,,
M1,Sunrise,387.4.46,,
M7,Lightning,397.1.54,,
M1,Sunrise,399.2.31,,
M8,Rainbow,412.2.97,,
M9,Rain,458.1.11,,
M10,Rocking,512.4.35,,
M11,Mystery Lights,597.1.64,,
M12,Stars,673.1.20,,
M13,Sailing,745.3.26,,
M14,Elmos Fire,802.1.25,,
M15,Comet,850.4.88,,
M16,Fire,897.2.39,,
M17,END,954.1.65,,
